;Beta values during inversion
0;-4.0
1;-3.6140161805771167
2;-3.492940441614708
3;-3.418900397618834
4;-3.372905840559964
5;-3.3392659744979922
6;-3.312035544888454
7;-3.2899756747940097
8;-3.272085705203746
9;-3.2575339548459867
10;-3.24564572383917
11;-3.2359379922379214
12;-3.2280551945230593
13;-3.221676253561448
14;-3.2165289108542168
15;-3.2123872063488106
16;-3.209062475660293
17;-3.2063958052728245
18;-3.2042569536961194
19;-3.2025585840910145
20;-3.2012552397830385
21;-3.20029185450921
