;Beta values during inversion
0;-4.0
1;-3.504244871252948
2;-3.3809310815378804
3;-3.3074063540857765
4;-3.2486049317089165
5;-3.201786834997784
6;-3.163847406259689
7;-3.1329870112945954
8;-3.107789343392265
9;-3.087119374276586
10;-3.0701498626657715
11;-3.056294429301926
12;-3.045022408712415
13;-3.035869928375662
14;-3.028455526435491
15;-3.0224740412775613
16;-3.017673873414199
17;-3.0138459239282156
18;-3.010816875557243
19;-3.0084428230978952
20;-3.0066040950354997
21;-3.0052010313113966
22;-3.0041505213737247
