;Beta values during inversion
0;-4.0
1;-3.5051224447804317
2;-3.3837986148536374
3;-3.3115219829073492
4;-3.253641851857557
5;-3.207480483046421
6;-3.1700279354065053
7;-3.1395343271691227
8;-3.1146237070299643
9;-3.094186924307614
10;-3.0773955756058715
11;-3.0636725184986946
12;-3.052508171076797
13;-3.0434475314109237
14;-3.0361177159188033
15;-3.0302201291047157
16;-3.0255046224858098
17;-3.0217640731204436
18;-3.018826690943774
19;-3.0165497672470507
20;-3.0148145911363575
21;-3.013522291587528
22;-3.0125904160834005
