;Beta values during inversion
0;-2.0
1;-2.1795575179028126
2;-2.3384391841473953
3;-2.479569181327926
4;-2.6070792704928296
5;-2.719562852568643
6;-2.817083039441389
7;-2.899898334813552
8;-2.969471860611313
9;-3.025724950694416
10;-3.0706097689759724
11;-3.106717325618371
12;-3.1356392386899476
13;-3.1586592281937813
14;-3.176871569557541
15;-3.191191542257146
16;-3.2023729570153554
17;-3.211032707240302
18;-3.2176755052612926
19;-3.2227111791104113
20;-3.2264676154196277
21;-3.2292038696414838
22;-3.2311269390694726
23;-3.232401871746592
24;-3.23315822510258
