;Beta values during inversion
0;-2.0
1;-2.19575350507069
2;-2.370478829152518
3;-2.526928489077414
4;-2.6667296452593847
5;-2.7886836101981762
6;-2.893088856102444
7;-2.9805992821975096
8;-3.049020874672021
9;-3.103185635601819
10;-3.1462791499962397
11;-3.1804289388937863
12;-3.2073925148123053
13;-3.2286158999951797
14;-3.2452472090699596
15;-3.2582029346357255
16;-3.268223565074161
17;-3.2759110955021598
18;-3.281750001505204
19;-3.2861285011105803
20;-3.289353259360876
21;-3.2916645325029394
22;-3.293253429976097
23;-3.2942718212924755
