;Beta values during inversion
0;-4.0
1;-3.592099682370657
2;-3.4453835628636655
3;-3.366720726882695
4;-3.314788427099506
5;-3.273119271987843
6;-3.2391760188862766
7;-3.211373701098068
8;-3.188437265094365
9;-3.1694060649894116
10;-3.1536509982539447
11;-3.1406247638147917
12;-3.129787684973863
13;-3.120742551996001
14;-3.1132587737358826
15;-3.1071304653237912
16;-3.10213415253174
17;-3.0980778798397344
18;-3.094802140672662
19;-3.0921741670703944
20;-3.0900833164162833
21;-3.088437244390584
22;-3.087158722529908
