;Beta values during inversion
0;-2.0
1;-2.17077822268312
2;-2.3129254026004618
3;-2.433816372937539
4;-2.542536515808608
5;-2.63876680225456
6;-2.7227374660486
7;-2.794926109838397
8;-2.8562072873350224
9;-2.9076158500579066
10;-2.9503972440980903
11;-2.985520172921447
12;-3.013363654963116
13;-3.035375330683803
14;-3.0526908921397173
15;-3.0662404972980033
16;-3.0767470364314877
17;-3.0847969859693847
18;-3.090865762717444
19;-3.095335176139494
20;-3.0985087797281445
21;-3.1006211920275275
22;-3.101844198179194
23;-3.102289648320769
