;Beta values during inversion
0;-4.0
1;-3.643070616632008
2;-3.517560470850671
3;-3.4424247684806413
4;-3.393683834900674
5;-3.3608195187531464
6;-3.3339848687865006
7;-3.3120523601830185
8;-3.2941060317883393
9;-3.2793711190600585
10;-3.267195607545445
11;-3.2570822796035017
12;-3.2487201566684063
13;-3.2418590845106623
14;-3.2362470225810234
15;-3.2316667647290176
16;-3.2279369009267094
17;-3.224904825640295
18;-3.2224411603314556
19;-3.220439325266701
20;-3.218826117887111
21;-3.2175573133650737
