;Beta values during inversion
0;-2.0
1;-2.1927259879981036
2;-2.3649972542880233
3;-2.518969385195074
4;-2.6567850012725125
5;-2.777219635249499
6;-2.880620112923902
7;-2.967925133581014
8;-3.037446054527379
9;-3.0928278093918142
10;-3.1372483947593426
11;-3.172752047091228
12;-3.2010123887325994
13;-3.22342804301185
14;-3.241136554580765
15;-3.2550492185343787
16;-3.265907312450402
17;-3.274316365776974
18;-3.280768313502261
19;-3.285660560548401
20;-3.2893104674756906
21;-3.2919689638007092
22;-3.2938371300113447
23;-3.295076330539882
24;-3.2958149988509997
