EVID;I;StdI;Io;Io_std;Io_ini;Depi;Ndata;Mag;StdM;Depth;Hmin;Hmax;Hmin_ini;Hmax_ini;StdIo_inv;RegID;Poids_int;eqStd;Poids_int_norm;Poids_evt;Poids
640001;3.5;0.75888847551028;7.988181078684584;0.25;7.5;112.98588536070258;117;5.14;0.25;5.9461422373638015;2.0;7.0;2.0;7.0;0.25;-99;1.7363772402778561;37.23681189464148;0.007933187216085534;0.09090909090909091;0.0007211988378259577
640001;4.0;0.7466429555514904;7.988181078684584;0.25;7.5;84.51383899134498;175;5.14;0.25;5.9461422373638015;2.0;7.0;2.0;7.0;0.25;-99;1.7938001503646988;36.63595401107575;0.008195541896649346;0.09090909090909091;0.0007450492633317588
640001;4.5;0.5896763606323197;7.988181078684584;0.25;7.5;53.44474981195736;187;5.14;0.25;5.9461422373638015;2.0;7.0;2.0;7.0;0.25;-99;2.875891944716045;28.933984937402066;0.013139419638450126;0.09090909090909091;0.001194492694404557
640001;5.0;0.6929776596608875;7.988181078684584;0.25;7.5;45.3434007674415;146;5.14;0.25;5.9461422373638015;2.0;7.0;2.0;7.0;0.25;-99;2.0823874227764905;34.00272845444179;0.009514043894438643;0.09090909090909091;0.0008649130813126039
640001;5.5;0.6641406945582081;7.988181078684584;0.25;7.5;33.89907114396737;87;5.14;0.25;5.9461422373638015;2.0;7.0;2.0;7.0;0.25;-99;2.267147707993542;32.58776870766373;0.01035817954579611;0.09090909090909091;0.0009416526859814646
640001;6.0;0.6355362449743679;7.988181078684584;0.25;7.5;27.23905822697766;88;5.14;0.25;5.9461422373638015;2.0;7.0;2.0;7.0;0.25;-99;2.475821629326551;31.18421793192292;0.011311572188045073;0.09090909090909091;0.0010283247443677338
640001;6.5;0.5459016161211421;7.988181078684584;0.25;7.5;21.577181000593825;36;5.14;0.25;5.9461422373638015;2.0;7.0;2.0;7.0;0.25;-99;3.35560814561321;26.786064683371762;0.015331154443553608;0.09090909090909091;0.001393741313050328
640001;7.0;0.5966993788969933;7.988181078684584;0.25;7.5;8.82551608219391;30;5.14;0.25;5.9461422373638015;2.0;7.0;2.0;7.0;0.25;-99;2.808593124978479;29.278587363836913;0.012831943748985995;0.09090909090909091;0.0011665403408169087
640001;7.5;0.5020458146424487;7.988181078684584;0.25;7.5;6.800606549156702;2;5.14;0.25;5.9461422373638015;2.0;7.0;2.0;7.0;0.25;-99;3.9674667724657815;24.63416716107407;0.01812662361004748;0.09090909090909091;0.0016478748736406799
740150;3.0;0.5706612440568947;6.115973076963666;0.25;6.0;83.08090352257744;190;4.19;0.25;9.349520643769402;7.0;13.0;7.0;13.0;0.25;-99;3.0707413866315525;28.000959411355332;0.01402965078512085;0.09090909090909091;0.00127542279864735
740150;3.5;0.7080587542157143;6.115973076963666;0.25;6.0;61.18999021325817;89;4.19;0.25;9.349520643769402;7.0;13.0;7.0;13.0;0.25;-99;1.9946256828678257;34.74272108738536;0.009113076698512121;0.09090909090909091;0.0008284615180465565
740150;4.0;0.8372845085474891;6.115973076963666;0.25;6.0;32.114866258181245;91;4.19;0.25;9.349520643769402;7.0;13.0;7.0;13.0;0.25;-99;1.4264412459067335;41.08351457849731;0.0065171468469107504;0.09090909090909091;0.0005924678951737046
740150;4.5;0.4553771287944969;6.115973076963666;0.25;6.0;26.616228926331182;24;4.19;0.25;9.349520643769402;7.0;13.0;7.0;13.0;0.25;-99;4.82233715607864;22.344248243644472;0.022032368652871486;0.09090909090909091;0.002002942604806499
740150;5.0;0.7110630216104686;6.115973076963666;0.25;6.0;19.32624203741711;37;4.19;0.25;9.349520643769402;7.0;13.0;7.0;13.0;0.25;-99;1.977806555194501;34.89013318213941;0.009036233207622792;0.09090909090909091;0.0008214757461475266
740150;5.5;0.740572010931202;6.115973076963666;0.25;6.0;12.74255155227191;12;4.19;0.25;9.349520643769402;7.0;13.0;7.0;13.0;0.25;-99;1.8233305609838164;36.33806752295052;0.008330460893843672;0.09090909090909091;0.0007573146267130611
