EVID;Year;Month;Day;Lon;Lat;QPos;I0;QI0;Ic;Dc;Mag;StdM;Depth;Hmin;Hmax;QH
640001;1980;2;29;0.333333333;43.08333333;A;7.5;A;3.5;100;5.14;0.25;4.0;2.0;7.0;A
740150;1994;12;14;6.366666667;45.91666667;A;6.0;A;3.0;50;4.19;0.25;11.0;7.0;13.0;A
740153;1996;7;15;6.083333333;45.91666667;A;7.0;A;3.0;100;4.56;0.25;2.0;1.0;3.5;A
380116;1999;9;13;5.416666667;45.45;A;4.5;B;3.0;12;3.3;0.25;7.5;3.0;9.0;A
640564;2002;9;5;0.416666667;43.11666667;A;5.0;A;3.5;25;3.46;0.25;10.0;6.0;12.0;A
560053;2002;9;30;-3.216666667;47.81666667;A;5.5;A;3.5;110;4.34;0.25;10.0;9.5;13.0;A
640566;2002;12;12;0.283333333;43.06666667;A;5.0;A;3.0;35;4.1;0.25;9.0;6.0;12.0;A
880077;2003;2;22;6.7;48.33333333;A;6.5;A;3.0;130;4.77;0.25;12.0;9.5;12.5;A
250038;2004;2;23;6.3;47.3;A;5.5;A;3.0;160;4.49;0.25;14.0;10.0;18.0;A
650505;2006;11;17;0.0;43.01666667;C;6.0;A;3.0;50;4.57;0.25;7.0;4.0;10.0;A
