EVID;Lon;Lat;Iobs;QIobs
640001;1.2666666666666666;42.9;0.0;A
640001;1.8333333333333333;42.71666666666667;0.0;A
640001;1.616666666666667;42.96666666666666;-1.0;A
640001;1.8;42.583333333333336;0.0;B
640001;1.35;42.88333333333333;3.0;A
640001;1.2166666666666666;42.86666666666667;3.0;A
640001;1.3666666666666667;42.86666666666667;2.5;A
640001;1.0166666666666666;43.03333333333334;3.5;A
640001;1.15;42.98333333333334;0.0;A
640001;1.1333333333333335;43.0;3.0;C
640001;0.95;42.88333333333333;4.5;A
640001;1.6;42.85;4.0;A
640001;1.2499999999999998;42.81666666666667;3.0;A
640001;2.083333333333333;43.1;0.0;A
640001;2.183333333333333;43.25;0.0;A
640001;2.2333333333333334;42.8;0.0;A
640001;1.9666666666666668;42.81666666666667;0.0;A
640001;1.75;43.2;0.0;A
640001;2.1166666666666663;43.25;2.5;A
640001;2.5666666666666664;43.18333333333333;0.0;A
640001;2.35;43.21666666666667;3.0;A
640001;2.4000000000000004;43.26666666666666;0.0;A
640001;2.25;42.933333333333344;0.0;A
640001;3.066666666666667;43.23333333333333;0.0;A
640001;2.816666666666668;43.0;0.0;A
640001;2.033333333333333;43.18333333333333;0.0;A
640001;2.8666666666666667;43.26666666666666;0.0;A
640001;2.6166666666666667;43.08333333333333;0.0;A
640001;2.7666666666666666;43.2;0.0;A
640001;2.2166666666666663;43.05;0.0;A
640001;2.3666666666666667;43.36666666666667;0.0;A
640001;2.1333333333333333;43.2;0.0;A
640001;2.533333333333333;42.96666666666666;0.0;A
640001;3.0;43.18333333333333;3.0;A
640001;2.183333333333333;42.86666666666667;2.5;A
640001;2.3166666666666664;43.1;0.0;A
640001;2.166666666666667;43.36666666666667;0.0;A
640001;1.7833333333333332;43.3;0.0;A
640001;2.9833333333333334;43.03333333333334;0.0;A
640001;2.716666666666667;42.88333333333333;0.0;A
640001;2.25;44.53333333333333;0.0;A
640001;2.7500000000000004;43.81666666666667;0.0;A
640001;2.716666666666667;44.46666666666667;0.0;A
640001;2.7;44.0;0.0;A
640001;2.8833333333333333;43.81666666666667;0.0;A
640001;3.083333333333333;44.41666666666666;0.0;A
640001;2.083333333333333;44.56666666666667;0.0;A
640001;2.4166666666666665;44.26666666666666;0.0;A
640001;2.533333333333333;44.16666666666667;0.0;A
640001;3.166666666666667;44.01666666666666;0.0;A
640001;2.4000000000000004;44.6;0.0;A
640001;2.25;44.56666666666667;0.0;A
640001;2.5666666666666664;44.65;0.0;A
640001;2.7333333333333334;44.49999999999999;0.0;A
640001;2.6666666666666665;44.55;0.0;A
640001;2.3166666666666664;44.53333333333333;0.0;A
640001;2.85;44.68333333333333;0.0;A
640001;2.816666666666668;44.38333333333333;0.0;A
640001;2.4666666666666663;44.48333333333333;0.0;A
640001;3.083333333333333;44.1;0.0;A
640001;2.2333333333333334;44.48333333333333;2.0;A
640001;3.1166666666666663;43.86666666666667;0.0;A
640001;2.6666666666666665;44.85;0.0;A
640001;1.9666666666666668;44.21666666666667;0.0;A
640001;2.333333333333333;44.2;0.0;A
640001;2.7333333333333334;44.28333333333334;0.0;A
640001;2.533333333333333;44.03333333333334;3.5;A
640001;2.2333333333333334;44.3;0.0;A
640001;2.283333333333333;44.41666666666666;0.0;A
640001;3.1333333333333333;44.18333333333333;0.0;A
640001;2.5666666666666664;44.35;-1.0;C
640001;2.8833333333333333;43.96666666666666;0.0;A
640001;2.6666666666666665;44.68333333333333;0.0;A
640001;2.95;44.16666666666667;0.0;A
640001;2.9166666666666665;44.58333333333334;0.0;A
640001;2.7666666666666666;44.8;0.0;A
640001;2.966666666666667;44.46666666666667;0.0;A
640001;3.3666666666666667;44.01666666666666;0.0;A
640001;2.9000000000000004;44.05;3.5;A
640001;2.6;43.88333333333333;0.0;A
640001;2.7833333333333337;44.18333333333333;0.0;A
640001;2.2;44.21666666666667;0.0;A
640001;3.066666666666667;44.33333333333334;0.0;A
640001;2.033333333333333;44.35;3.5;A
640001;2.033333333333333;44.43333333333333;0.0;A
640001;2.2166666666666663;44.55;0.0;A
640001;0.1166666666666666;45.23333333333333;2.0;A
640001;-0.3666666666666667;45.7;3.5;A
640001;-0.8666666666666667;45.55;0.0;A
640001;-1.1333333333333335;45.73333333333333;2.5;A
640001;-0.8500000000000001;45.53333333333333;0.0;A
640001;-1.0;45.88333333333333;0.0;A
640001;-1.15;45.85;0.0;A
640001;-1.05;45.7;2.0;C
640001;-0.2;45.13333333333333;2.0;B
640001;-1.0666666666666669;45.73333333333333;0.0;A
640001;-0.9166666666666669;45.83333333333334;0.0;A
640001;-1.2000000000000002;45.88333333333333;0.0;A
640001;-1.0833333333333337;46.06666666666666;2.0;A
640001;-0.8333333333333334;45.51666666666667;3.0;A
640001;-1.2666666666666666;45.91666666666666;0.0;A
640001;-0.95;45.9;0.0;A
640001;-0.9833333333333332;45.7;0.0;A
640001;-1.1;45.73333333333333;0.0;A
640001;-0.75;45.48333333333333;0.0;A
640001;-0.95;45.8;0.0;A
640001;-0.95;45.73333333333333;0.0;A
640001;-1.0666666666666669;45.85;0.0;A
640001;-1.1166666666666667;45.83333333333334;0.0;A
640001;-1.15;45.71666666666667;0.0;A
640001;-0.95;45.55;0.0;A
640001;-1.0333333333333334;45.9;0.0;A
640001;-1.0333333333333334;45.71666666666667;0.0;A
640001;-0.7833333333333333;45.48333333333333;0.0;A
640001;-1.0;45.75000000000001;0.0;A
640001;-1.15;46.16666666666667;2.0;B
640001;-1.0333333333333334;45.63333333333334;2.5;B
640001;-1.1166666666666667;45.68333333333333;0.0;A
640001;-1.3833333333333333;46.03333333333334;0.0;A
640001;-0.7;45.43333333333333;0.0;A
640001;-0.7166666666666667;45.46666666666667;0.0;A
640001;-1.0666666666666669;45.91666666666666;0.0;A
640001;-1.0;45.6;0.0;A
640001;-1.3333333333333333;45.98333333333334;0.0;A
640001;-0.95;45.81666666666667;0.0;A
640001;-1.0333333333333334;45.8;0.0;A
640001;-1.05;45.93333333333334;0.0;A
640001;-1.0833333333333337;45.65;0.0;A
640001;-1.2999999999999998;45.95;0.0;A
640001;-0.15;45.16666666666667;2.0;A
640001;-0.75;45.45;0.0;A
640001;-0.9833333333333332;45.76666666666666;0.0;A
640001;-1.0166666666666666;45.66666666666666;0.0;A
640001;-1.2000000000000002;45.85;0.0;A
640001;-1.0166666666666666;45.93333333333334;0.0;A
640001;-0.9166666666666669;45.53333333333333;0.0;A
640001;-1.15;45.76666666666666;0.0;A
640001;-1.0666666666666669;45.65;0.0;A
640001;-1.0833333333333337;45.95;0.0;A
640001;-1.2333333333333332;45.86666666666667;0.0;A
640001;-1.35;46.01666666666666;0.0;A
640001;1.5333333333333334;45.15000000000001;3.0;A
640001;1.3166666666666669;45.01666666666666;4.0;A
640001;0.75;45.13333333333333;-1.0;A
640001;1.1333333333333335;45.15000000000001;3.0;A
640001;0.7666666666666667;44.76666666666666;3.0;A
640001;1.0;44.78333333333333;0.0;A
640001;0.4833333333333333;44.85;3.0;A
640001;0.65;45.36666666666667;0.0;A
640001;0.9333333333333336;44.91666666666666;0.0;A
640001;0.9166666666666669;44.85;3.5;A
640001;0.6;45.65;0.0;A
640001;0.7;45.40000000000001;0.0;A
640001;0.7333333333333334;45.21666666666667;-1.0;A
640001;0.6666666666666667;45.2;3.5;B
640001;0.6833333333333333;45.18333333333333;3.0;A
640001;0.6333333333333334;45.13333333333333;4.0;B
640001;0.5666666666666668;44.85;4.0;A
640001;1.2166666666666666;44.8;0.0;A
640001;0.4;44.66666666666666;3.0;A
640001;1.15;45.26666666666666;0.0;A
640001;0.6;44.73333333333333;0.0;A
640001;0.3666666666666667;44.86666666666667;0.0;A
640001;0.0166666666666666;44.85;4.0;B
640001;1.1333333333333335;45.38333333333333;0.0;A
640001;0.4500000000000001;45.45;0.0;A
640001;1.1666666666666667;45.06666666666666;5.0;A
640001;0.1666666666666666;45.01666666666666;0.0;A
640001;0.6666666666666667;45.53333333333333;0.0;A
640001;0.7166666666666667;45.18333333333333;3.0;A
640001;0.5333333333333333;45.15000000000001;0.0;A
640001;0.1333333333333333;45.2;0.0;A
640001;1.0333333333333334;44.86666666666667;4.0;A
640001;0.75;45.49999999999999;0.0;A
640001;0.8500000000000001;45.11666666666667;0.0;A
640001;1.3166666666666669;44.96666666666666;4.0;A
640001;1.2166666666666666;44.88333333333333;3.5;A
640001;0.9166666666666669;45.26666666666666;0.0;A
640001;0.4166666666666667;44.75000000000001;0.0;A
640001;1.2999999999999998;45.13333333333333;0.0;A
640001;1.0666666666666669;45.13333333333333;0.0;A
